1. Left Behind by Global Economy,,,,,,"83,187",,,,,,,
Locale,Ideology,Topic,SubTopic,Test paragraph,Google hits,CC hits,,Keywords,,,,,
en,POP,Left behind,Main,There are more and more people being left behind by the global economy,"29,200,000","79,900",0.27%,Left behind|ignored|forgotten,econom,-5g,,,
en,POP,Left behind,Main globalism,"Neoliberals, in their push for globalism, made their voters feel left behind and alienated.","658,000","2,789",0.42%,Left behind|ignored|forgotten,globalis,voter|citizen|communi, ,,
en,POP,Left behind,Trump,We learned the chief grievance of the Trump voters was being left behind when so many others made great economic gains.,"291,000",188,0.06%,Left behind|ignored|forgotten,trump voter|rural voter|working class voter, ,,,
en,DROP,Left behind,Brexit,"Brexit voters, though some of them seemed somewhat confused on what the EU was, were very sure of one thing: they had been left behind in the UK's recovery since 2008.","11,900",37,0.31%,Left behind|ignored|forgotten,brexit, ,,,
en, ,Left behind,Control,"Angry at being left behind by neolib polilcies, the angry populist movement promised to ""take back control"" of the country","988,000",137,0.01%,Left behind|ignored|forgotten,take back control, ,,,
en,POP,Left behind,Post-Covid,"Post Covid, the chance that the economy and unemployment continue to worsen for those who already felt most ""left behind "" after 2008.  ","397,000",3,0.00%,Post covid,Left behind|ignored|forgotten,economy|economic|unemployment,,,
en,POP,Left behind,Global Conspiracy,It became clear that some had begun to view the 21st Century economy as a global conspiracy designed to enslave all mankind.,"253,000",133,0.05%,global conspiracy,enslave,,,,
 ,,,,,,,,,,,,,
2. Disintegration of Traditional Family Unit,,,,,,"20,613",,,,,,,
,,,,,,,,,,,,,
en,NAT,Family disintegration,Main,Conservatives firmly believed that the disintegration of the nuclear family unit was to blame for many of society's ills.,"19,000,000","20,164",0.11%,family,disintegration|disruption ,,,,
en,NAT,Family disintegration,Non traditional,Cherry-picking anecdotes about the problems of non-traditional family helped drive the conservative agenda in regulating adoption.,"12,600,000",436,0.00%,family,non-traditional|non-nuclear,problem|negative|critical|pathological,,,
