Language,Idealogy,Group,Topic / Concept,Test paragraph,CC hits,% relevance,Keywords,,,,,Exclusions
en,POP,Liberal Societies,Homosexuality,"In Gayropa, liberal societies are tolerant about everything. ",,,liberal,Tolerant,Gayropa,,,-academic journal
en,POP,Liberal Societies,Perverted Youth,The western youth is exposed to debauchery every day. Liberal democracy educate them to become perverts.,,,liberal,western youth,debauchery,perver,,-academic journal
en,POP,Liberal Societies,Fascist Liberalism,The neoliberal fascist impose their tolerance on us.,,,neoliberal fasci,tolerance,,,,-academic journal
en,POP,Liberal Societies,End of Liberalism,Liberalism is impeading development. Liberal democracies will finish soon.,,,liberalism,impeading development|hindering development|stopping development,dead|end|finish|stop,,,-academic journal
en,POP,Liberal Societies,Deficiencies of Liberalism,Liberal democracy is ending.,,,liberal democracy is ending|liberal democracy will collapse|liberal democracy is bad|liberal democracy came to an end|liberal democracy does not work,,,,,-academic journal
en,POP,Liberal Societies,Historic Liberalism,The idea of liberalism is condemned. The history will show that liberal democracies will die soon.,,,liberal,democra,liberalism,history,condemned,-academic journal
en,POP,Liberal Societies,Failed Democracy,The idea of Liberal democracy failed. It has served for too long. People are exhausted.,,,liberal democracy failed|liberal democracy ended|liberal democracy is over,exhausted,,,,-academic journal
en,POP,Liberal Societies,Problems of Democracy,Liberal democracy failed. It produces inequality.,,,liberal democracy does not work|liberal democracy failed,inequalit|security|social justice|inefficient,,,,-academic journal
en,POP,Liberal Societies,Weakness of democratic institutions,So called western liberal democracy are not democratic. We live in a demonocracy.,,,liberal democracy,demonocracy|degenerate institutions|failed institutions|disintegration,western,,,-academic journal
en,POP,Liberal Societies,NGO agents,Western liberal democracies are not sovereign. Foreign powers are violating our sovereignity. NGO influence torpedoes our independence.,,,western liberal democracy|western liberal democracies,foreign influence|violating sovereignity|NGO influence,,,,-academic journal
en,POP,Liberal Societies,NGOs funding,"In liberal democracies, NGOs are only grant-seekers. They only act under foreign influence.",,,liberal democracy|liberal democracies,NGO,grant-seekers|foreign manipulation|foreign influence,,,-academic journal
en,POP,Liberal Societies,People's needs,Liberal societies do not address people's needs.,,,liberal,do not address people's needs|does not address people's needs|fails to address people's needs,,,,-academic journal
en,POP,Liberal Societies,Decline,Liberal democracy is declining all over the world.,,,liberal democracy is declining|liberal democracies are declining|liberal democracies are decaying|liberal democracy is decaying|liberal democracy is decandent|liberal democracies are decendant,,,,,-academic journal
en,POP,Liberal Societies,Moral,Liberal democracy is anti-christian. We see a moral loss in the western world. People are losing their identity.,,,liberal democracy|liberal democracies,is anti-christian|moral loss|identity loss|losing identity,,,,-academic journal
en,POP,Western Leaders,Weakness,Western leaders are weak. It is proven that they are short-sighted.,,,western leaders are weak|leaders of the west are weak|western leaders are short-sighted|leaders of the west are short-sighted|western leaders are naive|leaders of the west are naive,,,,,-academic journal
en,POP,Western Leaders,Ineffectiveness,We have seen that western leaders are not effective and stuck in buerocracy.,,,western leaders are not effective|leaders of the west are ineffective|western leaders are stuck in buerocracy|leaders of the west are stuck in buerocracy|western leaders are indecisive|leaders of the west are indecisive,,,,,-academic journal
en,POP,Western Leaders,Corruption,"This shows, again, that the leaders of the west are greedy.",,,western leaders are greedy|leaders of the west are greedy|western leaders are corrupt|leaders of the west are corrupt|western leaders are venal|leaders of the west are venal|western leaders are predatory|leaders of the west are predatory,,,,,-academic journal
en,POP,Western Leaders,Russian control,Western leaders are the enemies of Russia. Their Russophodia is bad for our people.,,,western leaders|leaders of the west,Russophobia|enemies of Russia|competitors of Russia|Putin will win,,,,-academic journal
en,POP,Western Leaders,Anti-national government,Western leaders betray the people. They act against out interests.,,,western leaders betray|leaders of the west betray|western governments betray|governments of the west betray,people,,,,-academic journal
en,POP,Western Leaders,Anti-national,The leaders of liberal democracies are anti-national. The leaders betray their own nation.,,,liberal democracy|liberal democracies,leaders are anti-national|leaders betray,,,,-academic journal
en,POP,Western Leaders,Detached from people,We see that western leaders are detached from the people.,,,western leaders are detached|leaders of the west are detached,people,,,,-academic journal
en,POP,Western Leaders,Homosexuality,Western leaders are all unmanly. They tolerate gays and promote gender culture.,,,western leaders|leaders of the west,tolerate gays|gender culture|unmanly|impose homosexuality,,,,-academic journal
en,POP,Western Leaders,Lack of sovereignty,It is obvious that western leaders are all marionnes. They are all puppets.,,,western leaders|leaders of the west,Marionettes|are obedient|are only servants|Puppets,,,,-academic journal
en,POP,Western Leaders,Directed by others,Western leaders are all Sorosoids. They all depend on the USA.,,,western leaders|leaders of the west,Sorosoids|depend on the USA|depend on the US|are US dependent,,,,-academic journal
en,POP,Western Leaders,Double standards,Hypocricy is everywhere. We see that western leaders all have double standards.,,,western leaders|leaders of the west,Hypocricy|show double standards|hypocrats|hypocritical,,,,-academic journal
en,POP,Western Leaders,Against own country,Western leaders interfere in our domestic affairs. They treat us like a second-rate country,,,western leaders|leaders of the west,interfere in our domestic affairs|second-rate country,,,,-academic journal
en,POP,Institutions of the West,Fascist USA,The USA are facists. All they want is global dominance.,,,USA are facist|facist USA,global domination|global dominance,,,,-academic journal
en,POP,Institutions of the West,USA exploiting,It is clear! The USA are exploiting other countries to get rich. They only want to make money.,,,USA are exploiting|USA exploit,get rich|make money,,,,-academic journal
en,POP,Institutions of the West,USA aggressor,The USA are the aggressor. Their politicians still think that the USA are the world police.,,,USA are aggressor|USA are the world police|USA are disrupting|USA are imperial,,,,,-academic journal
en,POP,Institutions of the West,USA decline,The power of the USA is declining. We can see it all over the world,,,USA power is declining|power of the USA is declining|USA is unreliable|USA is no longer superpower,,,,,-academic journal
