PopAI: Keywords,,,,,,,,,,,,,,,,,,,,,
Lang,Index,Group/Topic,Topic / Concept / Sub Topic,Test paragraph,CC hits,% relevance,Keywords,,,,,,,,,Exclusions,,,,,
en,popai,Biometric identifiers ,Privacy - negative,"Police using facial recognition harms privacy|No one believes the government is setting out to damage victims’ computers. But history shows just how hard it is to get hacking tools right. Indeed, recent experience shows that tools developed by law enforcement have actually been co-opted and used by criminals and miscreants. For example, the FBI digital wiretapping tool Carnivore, later renamed DCS 3000, had weaknesses (which were eventually publicly identified) that made it vulnerable to spoofing by unauthorized parties, allowing criminals to hijack legitimate government searches. Cisco’s Law Enforcement access standards, the guidelines for allowing government wiretaps through Cisco’s routers, had similar weaknesses that security researchers discovered.",,,biometric identification | facial recognition | biometrics | biometric* authentication | fingerprint mapping | retina scan* | ‎iris scan*,police | law enforcement | security agencies | enforcement agencies,disrupts|impedes|does not acknowledge|not sensitive|harm*|abuse|restrict ,privacy,, ,,,,-Analytica,-Autonomous vehicle,-CBD Hemp,,,
en,popai,Biometric identifiers ,Privacy - positive,"Biometric identification by law enforcement respects privacy|No one believes the government is setting out to damage victims’ computers. But history shows just how hard it is to get hacking tools right. Indeed, recent experience shows that tools developed by law enforcement have actually been co-opted and used by criminals and miscreants. For example, the FBI digital wiretapping tool Carnivore, later renamed DCS 3000, had weaknesses (which were eventually publicly identified) that made it vulnerable to spoofing by unauthorized parties, allowing criminals to hijack legitimate government searches. Cisco’s Law Enforcement access standards, the guidelines for allowing government wiretaps through Cisco’s routers, had similar weaknesses that security researchers discovered.",,,biometric identification | facial recognition | biometrics | biometric* authentication | fingerprint mapping | retina scan* | ‎iris scan*,police | law enforcement | security agencies | enforcement agencies,acknowledge | promote | respect | safeguard | by design | upholding,privacy,, ,,,,-no safeguards,-lacks safeguards,-doesn't promote privacy ,-does not respect,-doesn't respect,-protectionCloud
en,popai,Biometric identifiers ,Privacy,"Facial recognition software used by security agencies raises serious privacy concerns. | Retina scanners employed by the police to identify citizens has built-in privacy safeguards.No one believes the government is setting out to damage victims’ computers. But history shows just how hard it is to get hacking tools right. Indeed, recent experience shows that tools developed by law enforcement have actually been co-opted and used by criminals and miscreants. For example, the FBI digital wiretapping tool Carnivore, later renamed DCS 3000, had weaknesses (which were eventually publicly identified) that made it vulnerable to spoofing by unauthorized parties, allowing criminals to hijack legitimate government searches. Cisco’s Law Enforcement access standards, the guidelines for allowing government wiretaps through Cisco’s routers, had similar weaknesses that security researchers discovered.",,,biometric identification | facial recognition | biometrics | biometric* authentication | fingerprint mapping | retina scan* | ‎iris scan*,police | law enforcement | security agencies | enforcement agencies,privacy,,,,,,,,,,,,
en,popai,Biometric identifiers ,"Efficiency, Reliability, Accuracy - positive",Law enforcement using biometric identification is accurate.,,,biometric identification | facial recognition | biometrics | biometric* authentication | fingerprint mapping | retina scan* | ‎iris scan*,police | law enforcement | security agencies | enforcement agencies,effectively | efficient | reliable | accurately | accurate | fight crime | prevent crime | increased security | support crime prevention,,,,,,,-low efficiency,-low reliability,-not reliable,-not efficient,-not accurate,
en,popai,Biometric identifiers ,"Efficiency, Reliability, Accuracy - negative",Biometric identification tools being used by the police are unreliable.,,,biometric identification | facial recognition | biometrics | biometric* authentication | fingerprint mapping | retina scan* | ‎iris scan*,police | law enforcement | security agencies | enforcement agencies,ineffective | inefficient | not reliable | not accurate | inaccurate | unreliable,,,,,,,,,,,,
en,popai,Biometric identifiers ,"Efficiency, Reliability, Accuracy",Facial recognition tools in the police arsenal have a high degree of reliability. |  Biometric identification software used by the security agencies have subpar efficiency. ,,,biometric identification | facial recognition | biometrics | biometric* authentication | fingerprint mapping | retina scan* | ‎iris scan*,police | law enforcement | security agencies | enforcement agencies,efficiency | reliability | accuracy | efficient | reliable | accurate,,,,,,,,,,,,
en,popai,Biometric identifiers ,Legitimacy - positive,Facial recognition software in law enforcement's arsenal is legitimate.,,,biometric identification | facial recognition | biometrics | biometric* authentication | fingerprint mapping | retina scan* | ‎iris scan*,police | law enforcement | security agencies | enforcement agencies,legitimacy | legitimate | is legitimate,,,,,,,-not legitimate,-low legitimacy ,,,,
en,popai,Biometric identifiers ,Legitimacy - negative,It is illegal for the police to use biometric identification tactics.,,,biometric identification | facial recognition | biometrics | biometric* authentication | fingerprint mapping | retina scan* | ‎iris scan*,police | law enforcement | security agencies | enforcement agencies,not legitimate | illegal,,,,,,,,,,,,
en,popai,Biometric identifiers ,Legitimacy ,Facial recognition software used by security agencies is used legitimately by the services. | Courts have found that biometric identification tools being used by the police are unlawful. ,,,biometric identification | facial recognition | biometrics | biometric* authentication | fingerprint mapping | retina scan* | ‎iris scan*,police | law enforcement | security agencies | enforcement agencies,legitimacy | legitimate | lawfulness | lawful,,,,,,,,,,,,
en,popai,Biometric identifiers ,"Transparency, Accountability - positive",Facial recognition technologies being used by the police are sufficiently transparent.,,,biometric identification | facial recognition | biometrics | biometric* authentication | fingerprint mapping | retina scan* | ‎iris scan*,police | law enforcement | security agencies | enforcement agencies,transparent | accountable | transparency | accountability | oversight ,,,,,,,-low transparency,-no transparency ,-no accountability,-no oversight,-lack of oversight,-lack of accountability
en,popai,Biometric identifiers ,"Transparency, Accountability - negative",Police using facial recognition tools are under no oversight.,,,biometric identification | facial recognition | biometrics | biometric* authentication | fingerprint mapping | retina scan* | ‎iris scan*,police | law enforcement | security agencies | enforcement agencies,no | lack | deficient | weak | ineffective | lack of ,transparent | accountable | transparency | accountability | oversight ,,,,,,,,,,,
en,popai,Biometric identifiers ,"Transparency, Accountability ",Police units using facial recognition tools have higher transparency standards. | Accountability is a huge problems when it comes to law enforcement's application of biometric identification software.,,,biometric identification | facial recognition | biometrics | biometric* authentication | fingerprint mapping | retina scan* | ‎iris scan*,police | law enforcement | security agencies | enforcement agencies,transparent | accountable | transparency | accountability | oversight,,,,,,,,,,,,
en,popai,Biometric identifiers ,Discrimination - positive,Biometric identification employed by security agencies do not discriminate.,,,biometric identification | facial recognition | biometrics | biometric* authentication | fingerprint mapping | retina scan* | ‎iris scan*,police | law enforcement | security agencies | enforcement agencies,no discrimination | impartial | do not discriminate,,,,,,,,,,,,
en,popai,Biometric identifiers ,Discrimination - negative,Biometric identification employed by security agencies promote have implicit racial bias.,,,biometric identification | facial recognition | biometrics | biometric* authentication | fingerprint mapping | retina scan* | ‎iris scan*,police | law enforcement | security agencies | enforcement agencies,promote discrimination | promote rasicm | racial bias | disproportionately | inequality,,,,,,,-CBD Hemp,-metersBeyond,,,,
en,popai,Biometric identifiers ,Discrimination ,Facial recognition software in law enforcement has been proven to be impartial towards different skin colours. | Facial recognition software used by the police further intensifies the discrimination towards minorities. ,,,biometric identification | facial recognition | biometrics | biometric* authentication | fingerprint mapping | retina scan* | ‎iris scan*,police | law enforcement | security agencies | enforcement agencies,discrimination | impartial | bias | discriminate | race | minorities ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
en,popai,Predictive policing,Privacy - negative,Predictive policing does not acknowledge privacy concerns.,,,predictive policing | preventive policing | crime forecasting,disrupts|impedes|does not acknowledge|not sensitive|harm*|abuse|restrict ,privacy,,,,,,,-seekersBaiduBenefits,,,,,
